gc_orgID,gc_orgID_conflict,harmonized_name,nom_harmonise,abbreviation,abreviation,institution_name_en,institution_name_fr,infosource_url_en,infosource_status_en,infosource_url_fr,infosource_status_fr,website,site_web,open_gov_ouvert,infobaseID,rg,pop,phoenix,match_method_en,match_score_en,match_method_fr,match_score_fr,row_key,url_key_en,url_key_fr
2255,False,Correctional Service Canada,Service correctionnel Canada,CSC,SCC,Correctional Service of Canada,Service correctionnel Canada,https://www.csc-scc.gc.ca/info-source/index-en.shtml,404.0,http://www.csc-scc.gc.ca/transparence/index-fra.shtml,200.0,www.canada.ca/correctional-service,www.canada.ca/service-correctionnel,csc-scc,117,53.0,PEN,PEN00,exact,,exact,,gc:2255,https://csc-scc.gc.ca/info-source/index-en.shtml,https://csc-scc.gc.ca/transparence/index-fra.shtml
2257,False,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec,CED,DEC,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec,http://www.dec-ced.gc.ca/eng/disclosure/info-source/index.html,200.0,http://www.dec-ced.gc.ca/fra/divulgation/info-source/index.html,200.0,https://www.canada.ca/en/economic-development-quebec-regions.html,https://www.canada.ca/fr/developpement-economique-regions-quebec.html,ced-dec,141,12.0,FRD,FRD00,exact,,exact,,gc:2257,https://dec-ced.gc.ca/disclosure/info-source/index.html,https://dec-ced.gc.ca/divulgation/info-source/index.html
2258,False,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l'Ontario,FedDev Ontario,FedDev Ontario,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l’Ontario,http://www.feddevontario.gc.ca/eic/site/723.nsf/eng/01754.html,,http://www.feddevontario.gc.ca/eic/site/723.nsf/fra/01754.html,,www.feddevontario.gc.ca,www.feddevontario.gc.ca,feddevontario,150,62.0,ESO,ESO00,exact,,exact,,gc:2258,https://feddevontario.gc.ca/eic/site/723.nsf/01754.html,https://feddevontario.gc.ca/eic/site/723.nsf/01754.html
2259,False,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada,FCAC,ACFC,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada,https://www.canada.ca/en/financial-consumer-agency/corporate/transparency/infosource.html,200.0,https://www.canada.ca/fr/agence-consommation-matiere-financiere/organisation/transparence/infosource.html,200.0,www.fcac.gc.ca,www.acfc.gc.ca,fcac-acfc,151,141.0,FNA,FNA00,exact,,exact,,gc:2259,https://canada.ca/financial-consumer-agency/corporate/transparency/infosource.html,https://canada.ca/agence-consommation-matiere-financiere/organisation/transparence/infosource.html
2260,False,Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada,FINTRAC,CANAFE,Financial Transactions and Reports Analysis Centre of Canada,Centre d’analyse des opérations et déclarations financières du Canada,http://www.fintrac-canafe.gc.ca/atip-aiprp/infosource-eng.asp,404.0,http://www.canafe-fintrac.gc.ca/atip-aiprp/infosource-fra.asp,404.0,www.fintrac-canafe.gc.ca,www.canafe-fintrac.gc.ca,fintrac-canafe,152,139.0,CFC,CFC00,exact,,exact,,gc:2260,https://fintrac-canafe.gc.ca/atip-aiprp/infosource-eng.asp,https://canafe-fintrac.gc.ca/atip-aiprp/infosource-fra.asp
2261,False,Immigration and Refugee Board of Canada,Commission de l'immigration et du statut de réfugié du Canada,IRB,CISR,Immigration and Refugee Board of Canada,Commission de l’immigration et du statut de réfugié du Canada,https://irb-cisr.gc.ca/en/transparency/atip/Pages/infosource.aspx,200.0,https://irb-cisr.gc.ca/fr/transparence/efvp/Pages/infosource.aspx,200.0,www.irb-cisr.gc.ca,www.cisr-irb.gc.ca,irb-cisr,174,32.0,IRB,IRB00,exact,,exact,,gc:2261,https://irb-cisr.gc.ca/transparency/atip/Pages/infosource.aspx,https://irb-cisr.gc.ca/transparence/efvp/Pages/infosource.aspx
2262,False,Library and Archives Canada,Bibliothèque et Archives Canada,LAC,BAC,Library and Archives Canada,Bibliothèque et Archives Canada,http://www.bac-lac.gc.ca/eng/transparency/atip/info-source/Pages/infosource.aspx,404.0,http://www.bac-lac.gc.ca/fra/transparence/aiprp/info-source/Pages/infosource.aspx,200.0,library-archives.canada.ca,bibliotheque-archives.canada.ca,lac-bac,199,145.0,BAL,BAL00,exact,,exact,,gc:2262,https://bac-lac.gc.ca/transparency/atip/info-source/Pages/infosource.aspx,https://bac-lac.gc.ca/transparence/aiprp/info-source/Pages/infosource.aspx
2263,False,Military Grievances External Review Committee,Comité externe d'examen des griefs militaires,MGERC,CEEGM,Military Grievances External Review Committee,Comité externe d’examen des griefs militaires,https://www.canada.ca/en/military-grievances-external-review/corporate/transparency/info-source-sources-federal-government-employee-information.html,200.0,https://www.canada.ca/fr/externe-examen-griefs-militaires/organisation/transparence/info-source-sources-renseignements-gouvernement-federal-fonctionnaires-federaux.html,200.0,www.canada.ca/en/military-grievances-external-review.html,www.canada.ca/fr/externe-examen-griefs-militaires.html,mgerc-ceegm,209,138.0,FCG,FCG00,exact,,exact,,gc:2263,https://canada.ca/military-grievances-external-review/corporate/transparency/info-source-sources-federal-government-employee-information.html,https://canada.ca/externe-examen-griefs-militaires/organisation/transparence/info-source-sources-renseignements-gouvernement-federal-fonctionnaires-federaux.html
2264,False,Military Police Complaints Commission of Canada,Commission d'examen des plaintes concernant la police militaire du Canada,MPCC,CPPM,Military Police Complaints Commission,Commission d’examen des plaintes concernant la police militaire,https://www.mpcc-cppm.gc.ca/corporate-organisation/transparency-transparence/infosource-eng.aspx,403.0,https://www.mpcc-cppm.gc.ca/corporate-organisation/transparency-transparence/infosource-fra.aspx,403.0,www.mpcc-cppm.gc.ca,www.mpcc-cppm.gc.ca,mpcc-cppm,210,137.0,CPM,CPM00,exact,,fuzzy,0.9402,gc:2264,https://mpcc-cppm.gc.ca/corporate-organisation/transparency-transparence/infosource-eng.aspx,https://mpcc-cppm.gc.ca/corporate-organisation/transparency-transparence/infosource-fra.aspx
2265,False,Farm Products Council of Canada,Conseil des produits agricoles du Canada,FPCC,CPAC,Farm Products Council of Canada,Conseil des produits agricoles du Canada,http://fpcc-cpac.gc.ca/index.php/en-GB/proactive-disclosures,,http://fpcc-cpac.gc.ca/index.php/fr-FR/divulgations-proactive,,www.fpcc-cpac.gc.ca,www.fpcc-cpac.gc.ca,fpcc-cpac,222,,FPN,,exact,,exact,,gc:2265,https://fpcc-cpac.gc.ca/index.php/en-GB/proactive-disclosures,https://fpcc-cpac.gc.ca/index.php/fr-FR/divulgations-proactive
