record_number,name_en,name_fr,document_types_en,document_types_fr
FIN FPD 062,Fiscal Policy Analysis,Analyse de la politique fiscale,"Economic and Fiscal Updates, emails, house cards, Memoranda, presentations, research papers.","Courriels, fiche parlementaire, mémoires au cabinet, mises à jour économiques et financières, notes de service, présentations et documents de recherche."
FIN EAF 140,Model Development,Prévisions et modélisation,"Background and research papers, Economic and Fiscal Updates.","Courriels, documents d'information d'études et mises à jour économiques et financières."
FIN SPA 137,Macro Analysis,Analyse macro-économiques,"Analytical notes, house cards, emails, Memoranda, presentations, special Budget chapters, medium-term economic agenda, working papers.","Chapitre spécialisé dans le Budget, courriels, documents de travail, document sur l’agenda économique de moyen terme, évaluations d'études, fiche parlementaire, notes analytiques, notes de breffage, et présentation."
FIN EAF 135,Policy Analysis,Analyse de la politique,"Analytical notes, conference summaries, emails, house cards, Memoranda, medium-term economic agenda, presentations, special budget chapters, working papers.","Courriels, documents de travail, document sur l’agenda économique de moyen terme, évaluations d'études, fiche parlementaire, et chapitre spécialisé dans le budget, notes analytiques, notes de breffages, présentations; et sommaires de conférences."
FIN FPD 057,Revenue Analysis and Forecasting,Analyse et prévision des recettes,"Annual financial reports, briefing notes, cabinet briefings, correspondence, Economic and Fiscal Updates, Economic Statements, Fiscal Monitors, house cards, Memoranda, research papers, presentations.","Correspondance, courriels, documents de recherche, exposés du cabinet, fiche parlementaire, les énoncés économiques, les revues financières, mises à jour économiques et financières, note de service, présentations, et rapports financiers annuels."
FIN SPA 136,Structural Analysis,Analyse structurelle,"Analytical notes, correspondence, decks, emails, house cards, Memoranda, presentations, special Budget chapters, medium-term economic agenda chapters, working papers.","Notes analytiques, notes de breffage, documents de travail, présentations, sommaires de conférences, évaluations d'études, fiche parlementaire et chapitre spécialisé dans le Budget, document sur l’agenda économique de moyen terme."
FIN EAF 115,United States Economic Analysis and Forecasting,Prévisions et analyses économiques des États-Unis,"Background and research papers, briefing notes, correspondence, Economic and Fiscal Updates, emails, emails, presentations.","Correspondance, courriels, documents d'information et d'études, mises à jour économiques et financières; notes de breffage et présentations."
FIN EDD 480,Agriculture,Agriculture,"Analyses, correspondence, emails, Memoranda, proposals, reports, and studies.","Analyses, correspondance, courriels, études, memoranda, propositions et rapports."
FIN EDD 424,Climate Change,Changement climatique,"Analyses, correspondence, emails, Memoranda, proposals, reports, and studies.","Analyses, correspondance, courriels, études, mémoires, propositions et rapports."
FIN EDD 520,Corporate Analysis,Analyse relative,"Analyses, briefing notes, corporate plans, correspondence, emails, and research papers.","Analyses, correspondance, courriels, notes de breffage, plans ministériels et travaux de recherche."
FIN PRI 400,Crown Corporations,Information sur certaines sociétés d'État,"Analyses, correspondence, emails, Memoranda, proposals, Memoranda, reports, and studies.","Analyses, correspondance, courriels, études, mémoires, propositions, et rapports."
FIN EDD 430,Economic Development,Développement économique,"Analyses, briefing notes, correspondence, emails, research papers.","Analyses, correspondance, courriels, notes de breffage et travaux de recherche."
FIN ERP 425,Energy,Énergie,"Analyses, briefing notes, correspondence, emails, Memoranda, proposals, research papers.","Analyses, correspondance, courriels, mémoires, notes de breffage, propositions, travaux de recherche."
